GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001
"G330","1980","A","1","1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,"NEW HAMPSHIRE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",920610
"G340","1980","A","1","2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,"NEW JERSEY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",7364823
"G350","1980","A","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,"NEW MEXICO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1302894
"G360","1980","A","1","2","New York","36",,,,,,,,,,,,,,,,,,,,,,,"NEW YORK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",17558072
"G370","1980","A","3","5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,"NORTH CAROLINA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5881766
"G380","1980","A","2","4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,"NORTH DAKOTA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",652717
"G390","1980","A","2","3","Ohio","39",,,,,,,,,,,,,,,,,,,,,,,"OHIO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",10797630
"G400","1980","A","3","7","Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,"OKLAHOMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3025290
"G410","1980","A","4","9","Oregon","41",,,,,,,,,,,,,,,,,,,,,,,"OREGON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2633105
"G420","1980","A","1","2","Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,"PENNSYLVANIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",11863895
"G440","1980","A","1","1","Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,"RHODE ISLAND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",947154
"G450","1980","A","3","5","South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,"SOUTH CAROLINA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3121820
"G460","1980","A","2","4","South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,"SOUTH DAKOTA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",690768
"G470","1980","A","3","6","Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,"TENNESSEE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4591120
"G480","1980","A","3","7","Texas","48",,,,,,,,,,,,,,,,,,,,,,,"TEXAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",14229191
"G490","1980","A","4","8","Utah","49",,,,,,,,,,,,,,,,,,,,,,,"UTAH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1461037
"G500","1980","A","1","1","Vermont","50",,,,,,,,,,,,,,,,,,,,,,,"VERMONT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",511456
"G510","1980","A","3","5","Virginia","51",,,,,,,,,,,,,,,,,,,,,,,"VIRGINIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5346818
"G530","1980","A","4","9","Washington","53",,,,,,,,,,,,,,,,,,,,,,,"WASHINGTON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4132156
"G540","1980","A","3","5","West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,"WEST VIRGINIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1949644
"G550","1980","A","2","3","Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,"WISCONSIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4705767
"G560","1980","A","4","8","Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,"WYOMING","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",469557
