GISJOIN,YEAR,FSTATUS,REGION,DIVISION,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,AIANHHA,SEA,UATYPE,PLACDESC,CBD,AREANAME,SUPFLG01,SUPFPA03,SUPFLG04,SUPFLG05,SUPFLG06,PBSUM00,PBSUM01,PBSUM02,PBSUM03,PBSUM04,PBSUM05,PBSUM06,PBSUM07,PBSUM08,PBSUM09,PBSUM10,PBSUM11,PBSUM12,PBSUM13,PBSUM14,PBSUM15,PBSUM16,PBSUM17,PBSUM18,PBSUM19,PBSUM20,PBSUM21,PBSUM22,PBSUM23,PBSUM24,PBSUM25,PBSUM26,PBSUM27,PBSUM28,PBSUM29,PBSUM30,PBSUM31,PBSUM32,PBSUM33,PBSUM34,PBSUM35,PBSUM36,PBSUM37,PBSUM38,DTQ001,DUE001
"G240","1980","A","3","5","Maryland","24",,,,,,,,,,,,,"MARYLAND",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",4216975,4216975
"G250","1980","A","1","1","Massachusetts","25",,,,,,,,,,,,,"MASSACHUSETTS",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",5737037,5737037
"G260","1980","A","2","3","Michigan","26",,,,,,,,,,,,,"MICHIGAN",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",9262078,9262078
"G270","1980","A","2","4","Minnesota","27",,,,,,,,,,,,,"MINNESOTA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",4075970,4075970
"G280","1980","A","3","6","Mississippi","28",,,,,,,,,,,,,"MISSISSIPPI",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2520638,2520638
"G290","1980","A","2","4","Missouri","29",,,,,,,,,,,,,"MISSOURI",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",4916686,4916686
"G300","1980","A","4","8","Montana","30",,,,,,,,,,,,,"MONTANA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",786690,786690
"G310","1980","A","2","4","Nebraska","31",,,,,,,,,,,,,"NEBRASKA",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1569825,1569825
"G320","1980","A","4","8","Nevada","32",,,,,,,,,,,,,"NEVADA",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",800493,800493
"G330","1980","A","1","1","New Hampshire","33",,,,,,,,,,,,,"NEW HAMPSHIRE",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",920610,920610
"G340","1980","A","1","2","New Jersey","34",,,,,,,,,,,,,"NEW JERSEY",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",7364823,7364823
"G350","1980","A","4","8","New Mexico","35",,,,,,,,,,,,,"NEW MEXICO",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1302894,1302894
"G360","1980","A","1","2","New York","36",,,,,,,,,,,,,"NEW YORK",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",17558072,17558072
"G370","1980","A","3","5","North Carolina","37",,,,,,,,,,,,,"NORTH CAROLINA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",5881766,5881766
"G380","1980","A","2","4","North Dakota","38",,,,,,,,,,,,,"NORTH DAKOTA",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",652717,652717
"G390","1980","A","2","3","Ohio","39",,,,,,,,,,,,,"OHIO",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",10797630,10797630
"G400","1980","A","3","7","Oklahoma","40",,,,,,,,,,,,,"OKLAHOMA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",3025290,3025290
"G410","1980","A","4","9","Oregon","41",,,,,,,,,,,,,"OREGON",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2633105,2633105
"G420","1980","A","1","2","Pennsylvania","42",,,,,,,,,,,,,"PENNSYLVANIA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",11863895,11863895
"G440","1980","A","1","1","Rhode Island","44",,,,,,,,,,,,,"RHODE ISLAND",,,,,,"1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",947154,947154
